iter	Passed	Remaining
0	2	256
1	4	231
2	6	223
3	8	209
4	11	211
5	13	214
6	15	211
7	18	209
8	20	206
9	22	203
10	25	204
11	27	202
12	29	200
13	32	197
14	34	195
15	36	191
16	38	187
17	40	184
18	42	181
19	44	178
20	46	175
21	48	171
22	50	167
23	51	164
24	54	162
25	56	160
26	58	157
27	59	153
28	61	150
29	63	147
30	65	144
31	67	143
32	68	140
33	70	137
34	72	134
35	74	132
36	75	129
37	77	126
38	79	124
39	80	121
40	82	119
41	83	115
42	85	112
43	86	110
44	88	108
45	90	105
46	92	103
47	94	101
48	95	99
49	97	97
50	99	95
51	101	93
52	102	91
53	104	89
54	106	86
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	116	74
61	117	72
62	119	70
63	121	68
64	123	66
65	124	64
66	126	62
67	128	60
68	129	58
69	131	56
70	133	54
71	134	52
72	136	50
73	138	48
74	140	46
75	142	44
76	143	42
77	145	41
78	147	39
79	148	37
80	150	35
81	152	33
82	154	31
83	155	29
84	157	27
85	159	25
86	161	24
87	162	22
88	164	20
89	166	18
90	168	16
91	170	14
92	171	12
93	173	11
94	175	9
95	177	7
96	178	5
97	180	3
98	182	1
99	184	0
